amount,balance_before_txn,balance,transactionduration,is_fraud
40.14,1179.86,1139.72,44.4764,0
29.92,1139.72,1109.8,0.3134,0
43.63,1109.8,1066.17,57.7853,0
35.86,1066.17,1030.31,11.1021,0
22.22,1030.31,1008.09,9.1764,0
46.87,1008.09,961.22,4.8241,0
50.14,961.22,911.08,0.1888,0
141.18,911.08,769.9,11.59,0
65.66,769.9,704.24,33.394,0
81.56,704.24,622.67,12.144,0
17.87,622.67,604.8,4.3359,0
33.37,604.8,571.43,1.0178,0
35.59,571.43,535.85,15.6981,0
15.11,535.85,520.74,2.2828,0
60.16,520.74,460.58,17.9087,0
25.3,460.58,435.27,11.3276,0
42.6,435.27,392.67,4.1812,0
13.66,392.67,379.02,2.9058,0
47.28,379.02,331.74,11.6536,0
26.16,331.74,305.58,21.1267,0
67.93,305.58,237.65,21.5619,0
78.2,237.65,159.45,8.4804,0
28.18,159.45,131.27,8.021,0
59.09,131.27,72.17,39.6588,0
80.36,72.17,-8.18,0.7555,0
52.09,-8.18,-60.27,12.8544,0
50.76,-60.27,-111.03,34.1989,0
60.69,-111.03,-171.72,73.6647,0
22.58,-171.72,-194.3,13.0085,0
31.81,-194.3,-226.11,33.4281,0
39.04,-226.11,-265.14,1.55,0
21.35,-265.14,-286.49,4.6317,0
97.53,-286.49,-384.02,7.2712,0
75.66,-384.02,-459.68,8.4187,0
151.1,-459.68,-610.77,19.5689,0
32.07,-610.77,-642.84,7.4319,0
37.32,-642.84,-680.16,2.5494,0
70.34,-680.16,-750.5,40.5898,0
118.84,-750.5,-869.35,18.0391,0
19.82,-869.35,-889.17,6.1452,0
53.89,-889.17,-943.06,4.6298,0
79.23,-943.06,-1022.29,18.9879,0
23.81,-1022.29,-1046.1,117.9375,0
40.3,-1046.1,-1086.39,4.248,0
13.9,-1086.39,-1100.29,13.1613,0
128.83,-1100.29,-1229.12,8.2518,0
67.1,-1229.12,-1296.22,22.5553,0
37.0,-1296.22,-1333.22,3.9903,0
38.41,-1333.22,-1371.64,6.7346,0
29.55,-1371.64,-1401.19,10.7584,0
21.98,-1401.19,-1423.17,2.0766,0
51.7,-1423.17,-1474.87,21.1881,0
48.66,-1474.87,-1523.53,1.528,0
55.0,-1523.53,-1578.53,10.1849,0
103.81,-1578.53,-1682.35,1.8561,0
62.32,-1682.35,-1744.66,24.512,0
41.81,-1744.66,-1786.48,107.9433,0
45.34,-1786.48,-1831.81,9.7054,0
22.59,-1831.81,-1854.41,25.7112,0
21.85,-1854.41,-1876.25,18.3044,0
22.09,-1876.25,-1898.35,17.7954,0
38.77,-1898.35,-1937.12,37.8085,0
52.71,-1937.12,-1989.83,0.028,0
38.75,-1989.83,-2028.58,48.6973,0
64.38,-2028.58,-2092.95,13.6611,0
84.15,-2092.95,-2177.1,1.1493,0
75.51,-2177.1,-2252.61,9.3768,0
64.78,-2252.61,-2317.4,26.754,0
52.99,-2317.4,-2370.39,30.6444,0
31.92,-2370.39,-2402.31,14.8332,0
65.44,-2402.31,-2467.75,19.4995,0
47.59,-2467.75,-2515.34,18.632,0
57.29,-2515.34,-2572.63,0.1952,0
137.13,-2572.63,-2709.75,8.1484,0
48.11,-2709.75,-2757.86,6.1415,0
35.88,-2757.86,-2793.74,7.7593,0
119.26,-2793.74,-2913.0,13.8063,0
109.78,-2913.0,-3022.78,9.3722,0
21.14,-3022.78,-3043.92,16.7335,0
35.21,-3043.92,-3079.13,12.7847,0
62.58,-3079.13,-3141.71,12.6203,0
26.94,-3141.71,-3168.65,7.8094,0
30.45,-3168.65,-3199.09,12.4672,0
25.82,-3199.09,-3224.92,8.1512,0
43.37,-3224.92,-3268.29,72.5954,0
67.24,-3268.29,-3335.53,5.2457,0
13.09,-3335.53,-3348.62,5.5554,0
141.87,-3348.62,-3490.49,12.2862,0
29.85,-3490.49,-3520.35,1.0999,0
53.45,-3520.35,-3573.79,9.9209,0
25.43,-3573.79,-3599.23,3.9218,0
68.25,-3599.23,-3667.48,17.4944,0
53.87,-3667.48,-3721.35,8.4141,0
19.13,-3721.35,-3740.48,10.9701,0
25.52,-3740.48,-3766.0,37.1471,0
64.57,-3766.0,-3830.57,1.6928,0
79.86,-3830.57,-3910.42,15.502,0
52.85,-3910.42,-3963.27,28.7893,0
34.0,-3963.27,-3997.27,18.5002,0
92.66,-3997.27,-4089.94,18.4766,0
35.43,-4089.94,-4125.36,4.7907,0
11.43,-4125.36,-4136.8,0.3347,0
45.33,-4136.8,-4182.13,9.9089,0
47.75,-4182.13,-4229.88,12.873,0
29.29,-4229.88,-4259.18,42.0752,0
73.01,-4259.18,-4332.19,0.0245,0
57.48,-4332.19,-4389.67,1.2771,0
75.51,-4389.67,-4465.18,8.3368,0
33.97,-4465.18,-4499.15,65.2347,0
59.47,-4499.15,-4558.62,3.894,0
28.07,-4558.62,-4586.69,8.5062,0
55.68,-4586.69,-4642.37,10.4976,0
45.67,-4642.37,-4688.03,9.3608,0
66.19,-4688.03,-4754.22,1.3241,0
98.46,-4754.22,-4852.68,6.4182,0
58.87,-4852.68,-4911.55,1.2995,0
56.45,-4911.55,-4968.01,5.4874,0
80.05,-4968.01,-5048.06,16.0522,0
74.6,-5048.06,-5122.66,26.9995,0
40.41,-5122.66,-5163.07,17.3539,0
15.62,-5163.07,-5178.68,35.847,0
13.14,-5178.68,-5191.82,6.4443,0
71.99,-5191.82,-5263.81,1.3256,0
40.18,-5263.81,-5303.99,0.9773,0
29.41,-5303.99,-5333.4,24.0077,0
77.32,-5333.4,-5410.72,59.1653,0
32.6,-5410.72,-5443.32,27.6807,0
36.63,-5443.32,-5479.95,14.1726,0
70.52,-5479.95,-5550.47,0.126,0
22.89,-5550.47,-5573.36,7.0608,0
35.6,-5573.36,-5608.95,3.4807,0
20.95,-5608.95,-5629.9,6.6617,0
12.67,-5629.9,-5642.57,6.8671,0
21.39,-5642.57,-5663.96,11.2142,0
93.93,-5663.96,-5757.89,33.8399,0
51.68,-5757.89,-5809.57,17.44,0
42.82,-5809.57,-5852.39,3.4086,0
40.59,-5852.39,-5892.98,29.1792,0
63.9,-5892.98,-5956.89,56.9921,0
59.06,-5956.89,-6015.95,10.2862,0
67.68,-6015.95,-6083.63,5.104,0
52.15,-6083.63,-6135.78,5.9345,0
13.66,-6135.78,-6149.45,1.0798,0
21.08,-6149.45,-6170.52,1.9477,0
46.44,-6170.52,-6216.97,6.0013,0
36.52,-6216.97,-6253.49,29.7006,0
52.29,-6253.49,-6305.77,5.7254,0
19.73,-6305.77,-6325.5,12.477,0
12.08,-6325.5,-6337.58,27.106,0
19.48,-6337.58,-6357.05,17.1067,0
24.15,-6357.05,-6381.2,3.5816,0
55.56,-6381.2,-6436.77,9.4891,0
27.18,-6436.77,-6463.95,19.7813,0
36.25,-6463.95,-6500.21,4.7199,0
25.79,-6500.21,-6526.0,6.4948,0
24.41,-6526.0,-6550.41,21.261,0
128.64,-6550.41,-6679.05,34.018,0
66.01,-6679.05,-6745.05,14.1246,0
27.18,-6745.05,-6772.23,1.5209,0
10.24,-6772.23,-6782.47,18.7444,0
139.1,-6782.47,-6921.58,10.6504,0
58.76,-6921.58,-6980.34,6.1198,0
155.65,-6980.34,-7135.99,12.6672,0
49.41,-7135.99,-7185.39,13.615,0
91.68,-7185.39,-7277.08,6.9966,0
36.73,-7277.08,-7313.81,21.7833,0
32.28,-7313.81,-7346.08,29.4012,0
37.44,-7346.08,-7383.52,0.6937,0
16.27,-7383.52,-7399.79,13.6982,0
111.2,-7399.79,-7510.98,43.7442,0
16.43,-7510.98,-7527.41,8.4838,0
80.34,-7527.41,-7607.76,45.2651,0
39.33,-7607.76,-7647.09,12.146,0
44.71,-7647.09,-7691.8,60.323,0
51.84,-7691.8,-7743.64,42.0341,0
167.7,-7743.64,-7911.33,11.6024,0
43.96,-7911.33,-7955.29,3.8776,0
73.47,-7955.29,-8028.76,5.7607,0
34.11,-8028.76,-8062.88,9.6102,0
28.9,-8062.88,-8091.78,30.6806,0
29.18,-8091.78,-8120.96,21.4977,0
88.13,-8120.96,-8209.09,2.6605,0
92.05,-8209.09,-8301.14,32.3209,0
18.6,-8301.14,-8319.74,6.1626,0
38.52,-8319.74,-8358.26,8.7117,0
110.62,-8358.26,-8468.88,22.6417,0
46.66,-8468.88,-8515.54,5.4723,0
56.69,-8515.54,-8572.22,33.357,0
37.86,-8572.22,-8610.08,14.8075,0
23.94,-8610.08,-8634.02,5.6956,0
18.25,-8634.02,-8652.27,3.778,0
33.36,-8652.27,-8685.63,13.6927,0
39.22,-8685.63,-8724.85,0.8374,0
451.94,-8724.85,-9176.79,0.3901,1
84.27,-9176.79,-9261.07,7.2244,0
73.98,-9261.07,-9335.05,5.0644,0
20.96,-9335.05,-9356.01,8.3562,0
66.76,-9356.01,-9422.77,23.4854,0
43.93,-9422.77,-9466.71,34.1774,0
27.24,-9466.71,-9493.94,22.3516,0
27.26,-9493.94,-9521.2,12.7863,0
88.75,-9521.2,-9609.95,19.9446,0
115.86,-9609.95,-9725.81,4.4337,0
15.02,-9725.81,-9740.84,34.6491,0
71.74,-9740.84,-9812.58,0.2114,0
104.86,-9812.58,-9917.43,0.445,0
20.38,-9917.43,-9937.82,26.2906,0
35.22,-9937.82,-9973.04,50.88,0
51.61,-9973.04,-10024.64,52.7,0
69.27,-10024.64,-10093.91,11.5386,0
15.46,-10093.91,-10109.37,22.7074,0
34.14,-10109.37,-10143.51,3.8574,0
81.36,-10143.51,-10224.87,24.3862,0
69.36,-10224.87,-10294.23,1.6027,0
26.95,-10294.23,-10321.18,48.744,0
41.68,-10321.18,-10362.86,12.1478,0
22.27,-10362.86,-10385.13,3.1754,0
72.44,-10385.13,-10457.57,38.688,0
67.72,-10457.57,-10525.29,12.7776,0
31.11,-10525.29,-10556.41,8.9756,0
25.49,-10556.41,-10581.9,2.1674,0
63.23,-10581.9,-10645.12,16.8215,0
11.51,-10645.12,-10656.64,37.3607,0
26.1,-10656.64,-10682.74,15.1497,0
21.19,-10682.74,-10703.92,8.227,0
119.7,-10703.92,-10823.62,13.9908,0
34.15,-10823.62,-10857.77,17.7161,0
60.12,-10857.77,-10917.89,58.5379,0
91.4,-10917.89,-11009.29,12.5567,0
43.13,-11009.29,-11052.41,23.9495,0
28.71,-11052.41,-11081.13,0.6097,0
19.94,-11081.13,-11101.07,12.0904,0
33.64,-11101.07,-11134.7,18.5449,0
158.65,-11134.7,-11293.35,13.0753,0
59.91,-11293.35,-11353.27,7.3647,0
84.57,-11353.27,-11437.84,10.6457,0
124.79,-11437.84,-11562.63,8.0285,0
74.04,-11562.63,-11636.67,0.6725,0
68.54,-11636.67,-11705.21,4.0992,0
118.82,-11705.21,-11824.03,15.8818,0
143.55,-11824.03,-11967.58,12.0949,0
79.34,-11967.58,-12046.91,27.1559,0
81.76,-12046.91,-12128.67,3.3642,0
25.95,-12128.67,-12154.62,4.7868,0
39.61,-12154.62,-12194.23,50.4463,0
18.7,-12194.23,-12212.94,12.9807,0
43.77,-12212.94,-12256.71,0.1731,0
71.73,-12256.71,-12328.44,2.7118,0
35.95,-12328.44,-12364.4,11.9107,0
27.1,-12364.4,-12391.49,0.7366,0
34.07,-12391.49,-12425.56,1.906,0
68.32,-12425.56,-12493.88,5.6849,0
417.39,-12493.88,-12911.27,12.6877,0
41.06,-12911.27,-12952.32,3.1391,0
74.81,-12952.32,-13027.13,43.8962,0
45.33,-13027.13,-13072.46,4.4807,0
85.24,-13072.46,-13157.7,0.1317,0
23.7,-13157.7,-13181.41,40.476,0
38.87,-13181.41,-13220.28,9.6763,0
50.99,-13220.28,-13271.26,50.112,0
58.68,-13271.26,-13329.94,42.9026,0
29.75,-13329.94,-13359.69,1.0877,0
37.32,-13359.69,-13397.01,70.7658,0
66.04,-13397.01,-13463.05,3.5421,0
48.48,-13463.05,-13511.54,27.2807,0
33.76,-13511.54,-13545.29,25.2045,0
39.32,-13545.29,-13584.61,27.5838,0
23.33,-13584.61,-13607.94,0.3699,0
95.41,-13607.94,-13703.35,5.2851,0
219.17,-13703.35,-13922.52,3.4375,0
197.29,-13922.52,-14119.81,33.7491,0
26.07,-14119.81,-14145.89,2.1913,0
29.73,-14145.89,-14175.62,17.8126,0
54.54,-14175.62,-14230.15,64.9608,0
38.64,-14230.15,-14268.79,7.7547,0
22.19,-14268.79,-14290.98,59.3465,0
83.72,-14290.98,-14374.7,15.0406,0
27.06,-14374.7,-14401.77,2.1271,0
21.66,-14401.77,-14423.42,31.0012,0
33.2,-14423.42,-14456.62,35.5226,0
58.79,-14456.62,-14515.41,21.4361,0
43.46,-14515.41,-14558.87,71.3612,0
31.03,-14558.87,-14589.91,0.5511,0
43.9,-14589.91,-14633.8,8.4464,0
60.36,-14633.8,-14694.16,0.987,0
76.16,-14694.16,-14770.32,0.4809,0
65.38,-14770.32,-14835.7,6.5316,0
40.54,-14835.7,-14876.24,0.4709,0
68.44,-14876.24,-14944.68,5.1419,0
47.36,-14944.68,-14992.04,57.4402,0
64.9,-14992.04,-15056.94,55.7994,0
16.42,-15056.94,-15073.36,1.2146,0
42.22,-15073.36,-15115.58,5.4516,0
90.55,-15115.58,-15206.13,4.8724,0
15.78,-15206.13,-15221.91,5.3989,0
83.31,-15221.91,-15305.22,1.427,0
34.67,-15305.22,-15339.89,7.2076,0
53.77,-15339.89,-15393.66,17.2561,0
85.89,-15393.66,-15479.54,15.1272,0
70.46,-15479.54,-15550.0,91.6519,0
48.96,-15550.0,-15598.95,18.7355,0
33.37,-15598.95,-15632.32,25.9324,0
86.1,-15632.32,-15718.43,33.2686,0
69.98,-15718.43,-15788.4,4.9986,0
36.66,-15788.4,-15825.07,3.6376,0
54.15,-15825.07,-15879.22,2.4709,0
139.64,-15879.22,-16018.85,2.9657,0
16.05,-16018.85,-16034.9,10.7501,0
100.88,-16034.9,-16135.78,2.5726,0
23.97,-16135.78,-16159.75,4.2265,0
44.14,-16159.75,-16203.89,39.6763,0
97.5,-16203.89,-16301.38,20.2351,0
60.44,-16301.38,-16361.82,7.0485,0
24.53,-16361.82,-16386.35,20.0177,0
68.62,-16386.35,-16454.97,16.3699,0
75.31,-16454.97,-16530.28,0.8236,0
71.05,-16530.28,-16601.33,6.4109,0
35.02,-16601.33,-16636.35,7.0945,0
28.27,-16636.35,-16664.63,2.0856,0
65.46,-16664.63,-16730.09,19.666,0
77.17,-16730.09,-16807.26,17.1598,0
21.9,-16807.26,-16829.17,5.4249,0
37.89,-16829.17,-16867.06,5.0097,0
38.79,-16867.06,-16905.85,34.9209,0
22.86,-16905.85,-16928.71,9.7191,0
81.06,-16928.71,-17009.77,17.0361,0
51.02,-17009.77,-17060.79,11.5409,0
68.92,-17060.79,-17129.72,2.8389,0
39.94,-17129.72,-17169.66,3.7405,0
59.57,-17169.66,-17229.23,9.3813,0
62.0,-17229.23,-17291.23,11.3706,0
47.79,-17291.23,-17339.02,8.9631,0
80.31,-17339.02,-17419.33,19.0367,0
50.48,-17419.33,-17469.81,32.9737,0
94.85,-17469.81,-17564.66,8.2792,0
28.92,-17564.66,-17593.57,4.3495,0
45.86,-17593.57,-17639.43,40.9477,0
34.08,-17639.43,-17673.51,17.6787,0
36.46,-17673.51,-17709.96,23.4479,0
21.08,-17709.96,-17731.04,0.7379,0
38.58,-17731.04,-17769.62,29.1522,0
34.91,-17769.62,-17804.53,15.0681,0
39.39,-17804.53,-17843.92,27.8447,0
33.22,-17843.92,-17877.15,11.4932,0
238.15,-17877.15,-18115.3,14.6118,0
21.06,-18115.3,-18136.36,10.8703,0
37.08,-18136.36,-18173.44,8.2994,0
72.74,-18173.44,-18246.17,10.1822,0
8.51,-18246.17,-18254.68,4.6288,0
32.83,-18254.68,-18287.52,52.8967,0
79.83,-18287.52,-18367.35,5.0988,0
16.82,-18367.35,-18384.17,45.6013,0
69.72,-18384.17,-18453.89,1.5398,0
28.3,-18453.89,-18482.18,36.2771,0
51.49,-18482.18,-18533.67,14.5967,0
58.74,-18533.67,-18592.4,9.5135,0
14.89,-18592.4,-18607.29,26.2014,0
27.11,-18607.29,-18634.4,20.6359,0
72.14,-18634.4,-18706.54,24.1337,0
118.73,-18706.54,-18825.27,11.4189,0
88.63,-18825.27,-18913.89,1.4892,0
709.4,-18913.89,-19623.29,0.2625,1
64.27,-19623.29,-19687.57,2.9671,0
11.92,-19687.57,-19699.49,15.7596,0
36.49,-19699.49,-19735.98,2.0839,0
38.07,-19735.98,-19774.05,46.1782,0
42.54,-19774.05,-19816.59,29.3812,0
54.95,-19816.59,-19871.55,21.2889,0
52.43,-19871.55,-19923.97,13.8558,0
49.35,-19923.97,-19973.32,2.8448,0
93.73,-19973.32,-20067.05,33.0624,0
93.23,-20067.05,-20160.28,22.7966,0
87.59,-20160.28,-20247.87,21.081,0
38.84,-20247.87,-20286.71,10.6017,0
112.9,-20286.71,-20399.6,29.3088,0
33.89,-20399.6,-20433.5,0.2492,0
46.75,-20433.5,-20480.24,8.1566,0
48.96,-20480.24,-20529.21,4.2112,0
41.08,-20529.21,-20570.29,27.4676,0
34.78,-20570.29,-20605.07,21.389,0
46.31,-20605.07,-20651.38,34.5784,0
32.93,-20651.38,-20684.32,45.0311,0
69.45,-20684.32,-20753.76,4.2593,0
32.6,-20753.76,-20786.36,38.1568,0
55.25,-20786.36,-20841.61,30.7445,0
61.93,-20841.61,-20903.55,1.6897,0
34.56,-20903.55,-20938.11,11.0189,0
128.36,-20938.11,-21066.48,42.9064,0
59.14,-21066.48,-21125.62,4.0452,0
7.07,-21125.62,-21132.69,42.782,0
25.26,-21132.69,-21157.95,2.2668,0
93.42,-21157.95,-21251.37,10.6003,0
77.3,-21251.37,-21328.67,15.1179,0
32.83,-21328.67,-21361.5,0.9117,0
30.53,-21361.5,-21392.03,6.9807,0
71.24,-21392.03,-21463.26,8.6471,0
49.81,-21463.26,-21513.08,5.9263,0
45.95,-21513.08,-21559.02,8.7631,0
39.78,-21559.02,-21598.8,42.9707,0
125.72,-21598.8,-21724.52,11.4852,0
30.21,-21724.52,-21754.73,23.6188,0
29.16,-21754.73,-21783.88,7.8977,0
25.52,-21783.88,-21809.4,24.6568,0
53.68,-21809.4,-21863.09,12.7839,0
780.13,-21863.09,-22643.22,0.1793,1
31.13,-22643.22,-22674.35,6.7254,0
87.84,-22674.35,-22762.19,39.9772,0
55.27,-22762.19,-22817.46,22.0082,0
33.87,-22817.46,-22851.33,0.5489,0
60.17,-22851.33,-22911.51,2.7241,0
33.96,-22911.51,-22945.46,3.812,0
44.13,-22945.46,-22989.59,1.4156,0
50.26,-22989.59,-23039.85,33.635,0
35.37,-23039.85,-23075.22,32.8199,0
34.58,-23075.22,-23109.8,17.5039,0
30.91,-23109.8,-23140.71,0.8921,0
45.85,-23140.71,-23186.55,29.0168,0
72.94,-23186.55,-23259.49,14.8437,0
73.1,-23259.49,-23332.59,16.4878,0
51.73,-23332.59,-23384.32,5.588,0
19.28,-23384.32,-23403.6,10.8032,0
79.75,-23403.6,-23483.34,50.9689,0
95.78,-23483.34,-23579.12,3.6944,0
28.97,-23579.12,-23608.09,1.6299,0
47.06,-23608.09,-23655.15,8.7931,0
8.3,-23655.15,-23663.45,1.3561,0
11.76,-23663.45,-23675.21,1.3507,0
52.37,-23675.21,-23727.58,25.6703,0
26.95,-23727.58,-23754.53,7.2703,0
188.52,-23754.53,-23943.05,7.0911,0
92.45,-23943.05,-24035.51,35.0089,0
60.92,-24035.51,-24096.43,14.8073,0
136.68,-24096.43,-24233.11,27.1751,0
84.98,-24233.11,-24318.08,14.3259,0
48.66,-24318.08,-24366.75,11.4238,0
105.44,-24366.75,-24472.18,4.2118,0
41.4,-24472.18,-24513.58,50.0399,0
52.95,-24513.58,-24566.53,3.6754,0
22.99,-24566.53,-24589.53,45.2213,0
61.7,-24589.53,-24651.23,3.4369,0
35.12,-24651.23,-24686.35,2.495,0
87.86,-24686.35,-24774.21,4.0139,0
58.24,-24774.21,-24832.45,4.216,0
76.37,-24832.45,-24908.82,13.4416,0
356.91,-24908.82,-25265.73,0.3633,1
11.29,-25265.73,-25277.02,10.1162,0
21.52,-25277.02,-25298.54,0.5521,0
58.34,-25298.54,-25356.88,0.064,0
67.85,-25356.88,-25424.73,23.7699,0
27.35,-25424.73,-25452.08,43.3017,0
33.95,-25452.08,-25486.03,30.113,0
54.32,-25486.03,-25540.35,20.748,0
22.94,-25540.35,-25563.29,6.2242,0
51.35,-25563.29,-25614.65,40.979,0
35.57,-25614.65,-25650.22,7.772,0
82.88,-25650.22,-25733.1,13.0485,0
24.31,-25733.1,-25757.42,1.2196,0
83.4,-25757.42,-25840.81,16.4901,0
15.68,-25840.81,-25856.49,10.2635,0
30.05,-25856.49,-25886.54,15.4918,0
19.48,-25886.54,-25906.02,16.8874,0
62.17,-25906.02,-25968.19,3.5693,0
19.19,-25968.19,-25987.38,15.6456,0
42.33,-25987.38,-26029.71,36.213,0
23.47,-26029.71,-26053.18,20.2616,0
36.81,-26053.18,-26089.99,10.3269,0
22.28,-26089.99,-26112.27,38.018,0
38.0,-26112.27,-26150.27,2.6246,0
48.54,-26150.27,-26198.81,21.8186,0
62.29,-26198.81,-26261.1,27.6461,0
22.76,-26261.1,-26283.86,1.032,0
38.44,-26283.86,-26322.3,36.4284,0
36.16,-26322.3,-26358.45,3.4403,0
87.32,-26358.45,-26445.77,2.92,0
774.74,-26445.77,-27220.52,0.4087,1
61.48,-27220.52,-27282.0,9.6736,0
23.98,-27282.0,-27305.98,6.9685,0
31.12,-27305.98,-27337.1,10.1387,0
64.08,-27337.1,-27401.18,2.8036,0
78.71,-27401.18,-27479.88,6.2943,0
22.92,-27479.88,-27502.8,6.4095,0
36.26,-27502.8,-27539.06,3.9313,0
37.78,-27539.06,-27576.84,7.4213,0
80.21,-27576.84,-27657.04,33.1897,0
52.37,-27657.04,-27709.42,0.0551,0
54.76,-27709.42,-27764.17,0.0031,0
37.61,-27764.17,-27801.78,16.7718,0
63.96,-27801.78,-27865.74,7.8886,0
37.89,-27865.74,-27903.63,15.4951,0
34.1,-27903.63,-27937.73,19.1273,0
20.25,-27937.73,-27957.98,91.6839,0
105.13,-27957.98,-28063.11,29.2961,0
63.81,-28063.11,-28126.92,1.46,0
33.9,-28126.92,-28160.82,5.3338,0
41.52,-28160.82,-28202.34,5.2846,0
77.85,-28202.34,-28280.19,9.3125,0
24.39,-28280.19,-28304.59,7.6284,0
95.97,-28304.59,-28400.56,11.0213,0
32.74,-28400.56,-28433.3,4.0338,0
31.52,-28433.3,-28464.82,0.9714,0
60.47,-28464.82,-28525.29,2.0526,0
139.06,-28525.29,-28664.35,18.8773,0
88.32,-28664.35,-28752.67,10.0883,0
41.34,-28752.67,-28794.01,23.5399,0
38.06,-28794.01,-28832.07,5.0395,0
44.58,-28832.07,-28876.64,20.3076,0
60.46,-28876.64,-28937.1,17.2729,0
45.95,-28937.1,-28983.05,2.5276,0
38.95,-28983.05,-29022.01,2.7789,0
129.81,-29022.01,-29151.81,14.5555,0
40.48,-29151.81,-29192.29,23.8397,0
22.79,-29192.29,-29215.08,1.4613,0
61.12,-29215.08,-29276.2,24.7991,0
24.48,-29276.2,-29300.68,6.2359,0
209.73,-29300.68,-29510.41,11.2153,0
34.92,-29510.41,-29545.33,65.3479,0
99.65,-29545.33,-29644.99,7.831,0
102.58,-29644.99,-29747.57,28.0596,0
29.99,-29747.57,-29777.55,6.962,0
414.38,-29777.55,-30191.94,0.222,1
34.33,-30191.94,-30226.27,2.4278,0
16.04,-30226.27,-30242.3,5.4183,0
107.75,-30242.3,-30350.05,8.9928,0
58.14,-30350.05,-30408.19,44.178,0
31.35,-30408.19,-30439.54,23.3085,0
105.26,-30439.54,-30544.8,40.1566,0
20.28,-30544.8,-30565.08,2.9481,0
107.78,-30565.08,-30672.86,6.1057,0
54.18,-30672.86,-30727.04,20.9889,0
11.31,-30727.04,-30738.35,17.1212,0
53.83,-30738.35,-30792.18,9.6461,0
22.72,-30792.18,-30814.9,32.6954,0
71.28,-30814.9,-30886.19,10.0482,0
96.27,-30886.19,-30982.46,10.6267,0
74.21,-30982.46,-31056.66,46.4244,0
18.2,-31056.66,-31074.86,24.0876,0
41.97,-31074.86,-31116.82,9.9719,0
95.08,-31116.82,-31211.9,29.6078,0
88.79,-31211.9,-31300.69,15.3721,0
22.8,-31300.69,-31323.49,6.6113,0
73.73,-31323.49,-31397.21,8.2113,0
76.68,-31397.21,-31473.89,4.1825,0
31.78,-31473.89,-31505.67,6.2534,0
22.48,-31505.67,-31528.15,48.5424,0
47.78,-31528.15,-31575.93,8.5215,0
21.41,-31575.93,-31597.34,12.9107,0
56.31,-31597.34,-31653.65,15.6543,0
101.31,-31653.65,-31754.96,4.9501,0
16.42,-31754.96,-31771.38,19.3734,0
82.52,-31771.38,-31853.9,1.1873,0
87.94,-31853.9,-31941.84,0.605,0
35.33,-31941.84,-31977.17,0.8327,0
41.5,-31977.17,-32018.67,8.9427,0
84.77,-32018.67,-32103.44,8.8469,0
92.66,-32103.44,-32196.11,0.8677,0
26.62,-32196.11,-32222.73,1.5748,0
42.24,-32222.73,-32264.97,8.8759,0
99.19,-32264.97,-32364.17,9.1503,0
36.36,-32364.17,-32400.53,9.6963,0
41.28,-32400.53,-32441.81,78.997,0
28.32,-32441.81,-32470.13,14.5911,0
96.68,-32470.13,-32566.81,1.228,0
23.58,-32566.81,-32590.39,19.8903,0
